Facility_Name,Ownership_Type
BAHAY PARE BARANGAY HEALTH STATION,Government
BANCAL BARANGAY HEALTH STATION,Government
BANCAL EXTENSION BARANGAY HEALTH STATION,Government
BANGA BARANGAY HEALTH STATION,Government
BAYUGO BARANGAY HEALTH STATION,Government
BLESSED HOPE MATERNITY & LYING-IN CLINIC (BANCAL),Private
BLESSED HOPE MATERNITY & LYING-IN CLINIC (POBLACION),Private
BLESSED MOTHER MATERNITY CLINIC,Private
BORDADOR DIAGNOSTIC CLINIC,Private
CAINGIN BARANGAY HEALTH STATION,Government
CALVARIO BARANGAY HEALTH STATION,Government
CAMALIG BARANGAY HEALTH STATION,Government
CAMALIG EXTENSION BARANGAY HEALTH STATION,Government
CARELIFE MEDICAL AND DIAGNOSTIC CLINIC,Private
CARELIFE MEDICAL AND DIAGNOSTIC CLINIC,Private
CITY OF MEYCAUAYAN BIRTHING STATION,Government
CITY OF MEYCAUAYAN DIAGNOSTIC CENTER,Private
CITY OF MEYCAUAYAN DIALYSIS CENTER,Government
CIUDAD GRANDE AND MEYLAND HOMES BARANGAY HEALTH STATION,Government
DIVINE GRACE LYING-IN CLINIC,Private
GASAK BARANGAY HEALTH STATION,Government
HOLY MARY LYING-IN CLINIC,Private
HRZ MATERNITY & LYING-IN CLINIC,Private
JARAH MEDICAL LABORATORY,Private
LADY PRINCESS MATERNITY & LYING-IN CLINIC,Private
LANGKA BARANGAY HEALTH STATION,Government
LAWA BARANGAY HEALTH STATION,Government
LIBTONG BARANGAY HEALTH STATION,Government
LIPUTAN BARANGAY HEALTH STATION,Government
LITTLE GRACE PARK BARANGAY HEALTH STATION,Government
LONGOS BARANGAY HEALTH STATION I,Government
LONGOS BARANGAY HEALTH STATION II,Government
"MARYMOUNT HOSPITAL, INC.",Private
MEYCAUAYAN CITY HEALTH OFFICE,Government
MEYCAUAYAN CITY HEALTH UNIT 10,Government
MEYCAUAYAN CITY HEALTH UNIT 8,Government
MEYCAUAYAN CITY HEALTH UNIT 9,Government
MEYCAUAYAN CITY HEALTH UNIT I,Government
MEYCAUAYAN CITY HEALTH UNIT II,Government
MEYCAUAYAN CITY HEALTH UNIT III,Government
MEYCAUAYAN CITY HEALTH UNIT IV,Government
MEYCAUAYAN CITY HEALTH UNIT V,Government
MEYCAUAYAN CITY HEALTH UNIT VI,Government
MEYCAUAYAN CITY HEALTH UNIT VII,Government
"MEYCAUAYAN DOCTORS HOSPITAL AND MEDICAL CENTER, INC.",Private
MEYLAND HOMES PHASE 2 BARANGAY HEALTH STATION,Government
MJ SCREEN LAB - DRUGTESTING CENTER,Private
MONOHEALTH DIAGNOSTICS CO.,Private
MONOHEALTH DIAGNOSTICS CO.,Private
NAZARENUS COLLEGE FOUNDATION HOSPITAL,Private
"NEPHROLOGY CENTER OF MEYCAUAYAN BULACAN, INC,",Private
NORTHVILLE 3 BARANGAY HEALTH STATION I,Government
NORTHVILLE 3 BARANGAY HEALTH STATION II,Government
OSPITAL NG MEYCAUAYAN,Private
PAJO BARANGAY HEALTH STATION,Government
PANDAYAN BARANGAY HEALTH STATION,Government
PANTOC BARANGAY HEALTH STATION,Government
PEDROSA DIAGNOSTIC CENTER,Private
PEDROSA DIAGNOSTIC CENTER,Private
POBLACION BARANGAY HEALTH STATION,Government
SALUYSOY BARANGAY HEALTH STATION I,Government
SAN LUIS-CASTILLO MEDICAL CLINIC AND LABORATORY,Private
SJ ORBE MEDICAL AND LABORATORY CLINIC,Private
SJ ORBE MEDICAL CLINIC,Private
ST. MARK'S LYING-IN CLINIC,Private
TEC HEALTH MEDICAL CLINIC AND DIAGNOSTIC CENTER,Private
TEC HEALTH MEDICAL CLINIC AND DIAGNOSTIC CENTER,Private
THE LORD'S HOSPITAL,Private
TUGATOG BARANGAY HEALTH STATION I,Government
TUGATOG BARANGAY HEALTH STATION II,Government
UBIHAN BARANGAY HEALTH STATION I,Government
UBIHAN BARANGAY HEALTH STATION II,Government
WOMANCARE MATERNITY AND LYING-IN CLINIC,Private
ZAMORA BARANGAY HEALTH STATION,Government
3P KLINIKA (PAANAKAN AT PAGAMUTAN SA PALMERA),Private
ACCUMAX MEDICAL DIAGNOSTIC CENTER,Private
ANTIPASADO BIRTHING HOME & FP CLINIC,Private
ARCHANGELS DIAGNOSTIC LABORATORY,Private
ASSUMPTION HEALTH CENTER,Government
BAGONG BUHAY I HEALTH CENTER,Government
BAGONG BUHAY II HEALTH CENTER,Government
BAGONG BUHAY III HEALTH CENTER,Government
BIOLAB DIAGNOSTIC CENTER,Private
"BLESSED FAMILY CHILD CARE AND MATERNITY CLINIC, INC.",Private
BRIGINO GENERAL HOSPITAL INC.,Private
"BRIGINO GENERAL HOSPITAL, INC.",Private
CALIBRE MEDICAL AND DIAGNOSTIC CENTER,Private
CARISSA 6 HEALTH STATION,Government
CDSGA MEDICAL CLINIC,Private
"CENTRALLE MEDICAL DIAGNOSTICS AND POLYCLINIC, INC.-SAMPOL",Private
CITRUS II HEALTH STATION,Government
CITRUS NIA HEALTH CENTER,Government
CITY DISASTER RISK REDUCTION AND MANAGEMENT OFFICE,Government
CITY HEALTH CENTER I,Government
CITY HEALTH CENTER II,Government
CITY HEALTH CENTER III,Government
CITY HEALTH CENTER IV,Government
CITY HEALTH CENTER IX,Government
CITY HEALTH CENTER V,Government
CITY HEALTH CENTER VI,Government
CITY HEALTH CENTER VII,Government
CITY HEALTH CENTER VIII,Government
CITY HEALTH CENTER X,Government
CITY HEALTH CENTER XI,Government
CITY HEALTH CENTER XIII,Government
CITY HEALTH CENTER XIV,Government
CIUDAD REAL HEALTH CENTER,Government
CVG MATERNITY CLINIC,Private
CVS DIALYSIS CENTER,Private
D FAMILY CARE CLINIC INC.,Private
"D GRACE MEDICAL CLINIC & SERVICES, INC.",Private
DAYSON'S BIRTHING HOME & FP CLINIC,Private
DELA COSTA III HEALTH CENTER,Government
DR. EDUARDO V. ROQUERO MEMORIAL HOSPITAL,Private
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM (DJNRMHS AMBULATORY SURGICAL CLINIC),Government
DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL AND SANITARIUM-AMBULATORY SURGICAL CLINIC,Government
DULONG BAYAN HEALTH CENTER,Government
EMETERIO MULTISPECIALTY MEDICAL CLINIC AND LABORATORY,Private
FATIMA I HEALTH CENTER,Government
FATIMA II HEALTH CENTER,Government
FATIMA III HEALTH CENTER,Government
FATIMA IV HEALTH CENTER,Government
FATIMA V HEALTH CENTER,Government
FRANCISCO HOMES GUIJO HEALTH CENTER,Government
FRANCISCO HOMES MULAWIN HEALTH CENTER,Government
FRANCISCO HOMES NARRA HEALTH CENTER,Government
FRANCISCO HOMES YAKAL HEALTH CENTER,Government
GAYA-GAYA HEALTH CENTER,Government
GOLD DEGREE DIAGNOSTIC LABORATORY,Private
"GRACE GENERAL HOSPITAL, INC.",Private
GRACE MEDICAL CENTER,Private
GRACEVILLE BIRTHING STATION,Government
GRACEVILLE HEALTH CENTER,Government
GUMAOC CENTRAL HEALTH CENTER,Government
GUMAOC EAST HEALTH CENTER,Government
GUMAOC WEST HEALTH CENTER,Government
HARMONY HILLS 1 HEALTH CENTER,Government
HEALTHPASS INC.,Private
HEALTHWAY QUALIMED HOSPITAL SAN JOSE DEL MONTE,Private
HI-PRECISION DIAGNOSTICS,Private
HI-PRECISION DIAGNOSTICS,Private
HOLISTIC CARE GENERAL HOSPITAL,Private
ILAB LABORATORY AND DIAGNOSTIC CENTER,Private
J.P. DIAGNOSTIC LABORATORY,Private
JASMINE LABORATORY,Private
JASMINE LABORATORY,Private
JCJN MATERNAL AND CHILD CARE CLINIC,Private
JESUS NAZARENE LYING-IN CLINIC,Private
JP DIAGNOSTIC LABORATORY,Private
KAIROS MATERNITY AND GENERAL HOSPITAL,Private
KAYBANBAN HEALTH CENTER,Government
KAYPIAN CARISSA 4A HEALTH CENTER,Government
KAYPIAN PHASE 4A HEALTH CENTER,Government
KAYPIAN PROPER HEALTH CENTER,Government
LABPRO DIAGNOSTIC CENTER,Private
LABPRO DIAGNOSTIC CENTER,Private
LAWANG PARI HEALTH CENTER,Government
LEF MIDWIFE  CLINIC,Private
LN LABORATORY CLINIC,Private
LN LABORATORY CLINIC,Private
LUDYVINA ESTRADA MAT. & LYING-IN CLINIC,Private
LUZON RENAL CARE INC.,Private
LYING-IN CLINIC 4J QUER,Private
MAHARLIKA HEALTH CENTER,Government
MANGAHAS LYING-IN,Private
"MEDQUEST DIAGNOSTICS, INC.",Private
"MEDQUEST DIAGNOSTICS, INC.",Private
MELODY PLAINS HEALTH CENTER,Government
METRO SAN JOSE IMAGING AND DIAGNOSTIC CENTER INC.,Private
METROHEMO DIALYSIS CENTER,Private
MINUYAN I HEALTH CENTER,Government
MINUYAN II HEALTH CENTER,Government
MINUYAN III HEALTH CENTER,Government
MINUYAN IV HEALTH CENTER,Government
MINUYAN PROPER HEALTH CENTER,Government
MINUYAN V HEALTH CENTER,Government
MSR HEALTH CARE INC.,Private
MUZON HEALTH CENTER,Government
NEW PARADISE REHAB CORPORATION,Private
NHA GRACEVILLE HEALTH STATION,Government
NHA MARANGAL HEALTH STATION,Government
OSPITAL NG LUNGSOD NG SAN JOSE DEL MONTE,Government
PABAHAY DE ARKANGHEL POLYCLINIC,Private
PABAHAY PHASE I HEALTH CENTER,Government
PABAHAY PHASE II HEALTH CENTER,Government
PAKWANAN HEALTH CENTER,Government
PARADISE HEALTH CENTER,Government
PARTIDA HEALTH CENTER,Government
PHASE 4B TOWERVILLE HEALTH CENTER,Government
POBLACION HEALTH CENTER,Government
POBLACION I HEALTH CENTER,Government
PROMISE CHILD BIRTHING HOME AND FAMILY PLANNING CLINIC,Private
QUALIMED HEALTH NETWORK SJDM,Private
QUALIMED HOSPITAL - SAN JOSE DEL MONTE,Private
QUEENNS BH MEDICAL AND DIAGNOSTIC CLINIC,Private
QUEENNS BH MEDICAL AND DIAGNOSTIC CLINIC,Private
QUIROL MATERNITY CLINIC,Private
RABV MEDICAL AND DIAGNOSTIC CLINIC,Private
RABV MEDICAL AND DIAGNOSTIC CLINIC,Private
RABVIE MEDICAL AND DIAGNOSTIC CLINIC,Private
RONQUILLO MATERNITY CLINIC,Private
RRT MEDICAL AND DIAGNOSTIC CENTER,Private
RX27 MEDICAL CLINIC AND LABORATORY,Private
SAINT FATIMA MATERNITY CLINIC,Private
SAN ISIDRO HEALTH CENTER,Government
SAN JOSE DEL MONTE-MUZON MEDICAL CENTER,Private
"SAN JOSE DEL MONTE-MUZON-MEDICAL CNETER, INC",Private
SAN JOSE HEIGHTS PHASE 1 HEALTH CENTER,Government
SAN JOSE HEIGHTS PHASE 2 HEALTH CENTER,Government
SAN MANUEL HEALTH CENTER,Government
SAN MARTIN I HEALTH CENTER,Government
SAN MARTIN II HEALTH CENTER,Government
SAN MARTIN III HEALTH CENTER,Government
SAN MARTIN IV HEALTH CENTER,Government
SAN PEDRO HEALTH CENTER,Government
SAN PEDRO II HEALTH CENTER,Government
SAN RAFAEL I LOWER  HEALTH CENTER,Government
SAN RAFAEL II HEALTH CENTER,Government
SAN RAFAEL III HEALTH CENTER,Government
SAN RAFAEL IV HEALTH CENTER,Government
SAN RAFAEL V HEALTH CENTER,Government
SAN ROQUE HEALTH CENTER,Government
SANTA CRUZ I HEALTH CENTER,Government
SANTA CRUZ II HEALTH CENTER,Government
SANTA CRUZ III HEALTH CENTER,Government
SANTA CRUZ IV HEALTH CENTER,Government
SANTA CRUZ V HEALTH CENTER,Government
SANTO CRISTO CARISSA 1A HEALTH CENTER,Government
SANTO CRISTO HEALTH CENTER,Government
SANTO NIÑO HEALTH CENTER,Government
SANTO NIÑO II HEALTH CENTER,Government
SAPANG PALAY PROPER HEALTH CENTER,Government
SJDM EYE CARE CENTER,Private
SJP INFIRMARY DIAGNOSTIC AND PHARMACY,Private
SKYLINE HOSPITAL AND MEDICAL CENTER,Private
SKYLINE HOSPITAL AND MEDICAL CENTER,Private
SKYLINE HOSPITAL AND MEDICAL CENTER,Private
ST. ADRIANNE DIAGNOSTIC AND LYING-IN CLINIC,Private
ST. BERNADETTE MULTISPECIALTY AND PRIMARY CARE FACILITY,Government
ST. GERARD MATERNITY CLINIC,Private
ST. MARTIN DE PORES HEALTH CENTER,Government
STO CRISTO SKYLINE ROAD HEALTH CENTER,Government
TEACHER'S VILLE LYING-IN & MIDWIFE CLINIC,Private
TECH-MED LABORATORY AND MEDICAL SERVICES,Private
THE MEDICAL CITY CLINIC @SM SAN JOSE DEL MONTE,Private
THE MEDICAL CITY CLINIC @SM SAN JOSE DEL MONTE,Private
TOWERVILLE BIRTHING STATION,Government
TOWERVILLE MINUYAN PROPER HEALTH STATION,Government
TOYOTA HEALTH CENTER,Government
TUNGKONG MANGGA HEALTH CENTER,Government
TURNING POINT REHABILITATION CENTER,Private
VILLA ESPERANZA SOCIAL HYGIENE CLINIC-PRIMARY HIV CARE CLINIC,Government
VM BERNABE MEDICAL AND DIAGNOSTIC CLINIC,Private
WI CARE MEDICAL AND DIAGNOSTIC CLINIC,Private
WJE DIAGNOSTIC LABORATORY,Private
ZAMORA MEDICAL CLINIC,Private
BAYABAS BARANGAY HEALTH STATION,Government
CAMACHILE BARANGAY HEALTH STATION,Government
CAMACHIN BARANGAY HEALTH STATION,Government
DOÑA REMEDIOS TRINIDAD BIRTHING CENTER,Government
DOÑA REMEDIOS TRINIDAD RURAL HEALTH UNIT,Government
KABAYUNAN BARANGAY HEALTH STATION,Government
KALAWAKAN BARANGAY HEALTH STATION,Government
PULONG SAMPALOC BARANGAY HEALTH STATION,Government
SAPANG BULAC BARANGAY HEALTH STATION,Government
TALBAK BARANGAY HEALTH STATION,Government
"88LIFESTREAM MEDICAL DIALYSIS CENTER GUIGUINTO, INC.",Private
AMIE'S BIRTHING HOME CLINIC,Private
ANTOINETTE DRUG TESTING CENTER,Private
BIO-SCREEN DRUG TESTING CENTER,Private
BISMILLAH AL-BARAKAH LYING-IN CLINIC,Private
CRYSTAL HEALTH LABORATORY AND MEDICAL CLINIC OPC,Private
CUTCUT BARANGAY HEALTH STATION,Government
DAUNGAN BARANGAY HEALTH STATION,Government
DR ABON-ABON MEDICAL AND DIAGNOSTIC CENTER,Private
GIMENA MEDICAL AND DIAGNOSTIC CLINIC,Private
"GUIGUINTO HEMODIALYSIS CENTER, INC.",Private
"GUIGUINTO POLYMEDIC HOSPITAL, INC.",Private
GUIGUINTO RURAL HEALTH UNIT I,Government
GUIGUINTO RURAL HEALTH UNIT I,Government
GUIGUINTO RURAL HEALTH UNIT II,Government
GUIGUINTO RURAL HEALTH UNIT II,Government
ILANG ILANG BARANGAY HEALTH STATION,Government
JCTD HEALTHCARE SPECIALIST INC.,Private
JT2 HEALTH NETWORK INC.,Private
LIGAS KOOPERATIBA NG BAYAN SA PAGPAPAUNLAD,Private
"MAGPOC MATERNITY HOSPITAL, INC.",Private
MALIS NHA BARANGAY HEALTH STATION,Government
MALIS PROPER BARANGAY HEALTH STATION,Government
MAYOR ISAGANI C. PASCUAL HOSPITAL,Government
PANGINAY BARANGAY HEALTH STATION,Government
PRITIL BARANGAY HEALTH STATION,Government
PULONG GUBAT BARANGAY HEALTH STATION,Government
RENAL DIALYSIS CENTER,Private
Saltin Maternity Lying-in Clinic,Private
SANTA CRUZ BARANGAY HEALTH STATION,Government
SANTA RITA BARANGAY HEALTH STATION,Government
SMC HEALTHCARE CLINIC,Private
SOLIDGOLD DIAGNOSTIC LABORATORY,Private
ST. ILDEPHONSE MULTISPECIALTY AND DIAGNOSTIC CLINIC,Private
SUNRISE DIALYSIS CENTER OPC,Private
SURECARE DIAGNOSTIC CLINIC,Private
TABANG BARANGAY HEALTH STATION AND LYING-IN CLINIC,Government
TABE BARANGAY HEALTH STATION,Government
TIAONG BARANGAY HEALTH STATION,Government
TUKTUKAN BARANGAY HEALTH STATION,Government
ABULALAS BARANGAY HEALTH STATION,Government
ANGEL CARE BIRTHING HOME CLINIC,Private
BAYLON ATIENZA BIRTHING CLINIC,Private
CARILLO BARANGAY HEALTH STATION,Government
D. DEL ROSARIO BIRTHING CENTER & FP CLINIC,Private
DIVINE WORD HOSPITAL,Private
E. LOPEZ BIRTHING HOME & FP CLINIC,Private
EMILIO G. PEREZ MEMORIAL DISTRICT HOSPITAL,Government
FLOR G. TAYSON BIRTHING HOMES,Private
HAGONOY RURAL HEALTH UNIT I,Government
HAGONOY RURAL HEALTH UNIT II,Government
HAGONOY RURAL HEALTH UNIT III,Government
HAGONOY RURAL HEALTH UNIT III,Government
HAGONOY RURAL HEALTH UNIT IV,Government
HAGONOY RURAL HEALTH UNIT IV LYING-IN,Government
HEALTH TRUEVALUE DIAGNOSTIC LABORATORY,Private
IBA BARANGAY HEALTH STATION,Government
IBA-IBAYO BARANGAY HEALTH STATION,Government
J.A. GONZALES MATERNITY & LYING-IN CLINIC,Private
LAB-LIFE DIAGNOSTIC CENTER,Private
LITTLE SAINTS' BIRTHING CLINIC,Private
MATEO-MABBORANG GENERAL HOSPITAL,Private
MERCADO BARANGAY HEALTH STATION,Government
NAZARENO CLINICAL LABORATORY,Private
NERISSA P. LOPEZ MIDWIFE CLINIC,Private
PALAPAT BARANGAY HEALTH STATION,Government
PUGAD BARANGAY HEALTH STATION,Government
RURAL HEALTH UNIT- 5,Government
SAGRADA FAMILIA BARANGAY HEALTH STATION,Government
SAMPANA CLINICAL LABORATORY,Private
SAN AGUSTIN BARANGAY HEALTH STATION I,Government
SAN AGUSTIN BARANGAY HEALTH STATION II,Government
SAN ISIDRO BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN MIGUEL BARANGAY HEALTH STATION,Government
SAN PABLO BARANGAY HEALTH STATION,Government
SAN PASCUAL BARANGAY HEALTH STATION,Government
SAN PEDRO BARANGAY HEALTH STATION,Government
SAN ROQUE BARANGAY HEALTH STATION,Government
SAN SEBASTIAN BARANGAY HEALTH STATION,Government
SANTA CRUZ BARANGAY HEALTH STATION,Government
SANTA ELENA BARANGAY HEALTH STATION,Government
SANTOS ELIGIO COMMUNITY HEALTH CENTER,Government
ST. SEBASTIAN DIAGNOSTIC LABORATORY,Private
TAMPOK BARANGAY HEALTH STATION,Government
TIBAGUIN BARANGAY HEALTH STATION,Government
ABANGAN NORTE HEALTH CENTER,Government
ABANGAN SUR HEALTH CENTER,Government
"ACSA HEALTH SOLUTIONS, INC.",Private
BAHAY KALUSUGAN LYING-IN CLINIC,Private
BORDADOR MATERNITY & LYING-IN CLINIC,Private
CINDY CARPELA MIDWIFE CLINIC,Private
COMCARE DIAGNOSTIC & MEDICAL CLINIC,Private
DEBBIE C. LARA MIDWIFE CLINIC,Private
EASE DRUGS CLINIC & LABORATORY,Private
"EASE DRUGS, CLINIC & LABORATORY",Private
EL BULAKEÑA MATERNITY CLINIC,Private
EMPIRE MEDICINE DIAGNOSTIC,Private
EXCELHEALTH DIAGNOSTIC LABORATORY,Private
FAST HEALTH DIAGNOSTIC AND MEDICAL CLINIC,Private
FAST HEALTH DIAGNOSTIC AND MEDICAL CLINIC,Private
HOLISTIC CARE LAB,Private
HOLY MARY LYING IN CLINIC,Private
I MEDICAL HEALTHCARE CLINIC,Private
IBAYO HEALTH CENTER,Government
IMEDICAL HEALTHCARE CLINIC,Private
J-GEM MEDICAL AND DIAGNOSTIC CLINIC,Private
JESSIE'S MATERNITY CLINIC,Private
JT2 HEALTH,Private
JT2 HEALTH NETWORK INC.,Private
LAMBAKIN - CENTRO HEALTH CENTER,Government
LIAS HEALTH CENTER,Government
LIAS' CLINICA HERNANDEZ,Private
LOMA DE GATO BARANGAY HEALTH CENTER,Government
MARILAO DIALYSIS CENTER,Government
"MARILAO MEDICAL AND DIAGNOSTIC CLINIC, INC.",Private
MARILAO RURAL HEALTH UNIT I,Government
MARILAO RURAL HEALTH UNIT II,Government
"MARILAO SAINT MICHAEL FAMILY HOSPITAL, INC.",Private
"MARILAO ST. MICHAEL FAMILY HOSPITAL, INC.",Private
MARY AND CHILD LYING-IN CLINIC,Private
MVA CLINICAL LABORATORY AND DIAGNOSTIC CLINIC,Private
MVA CLINICAL LABORATORY AND DIAGNOSTIC CLINIC,Private
NORTHVILLE 4A HEALTH CENTER,Government
ONE BULACAN DIALYSIS CENTER INC.,Private
PASHA HEMODIALYSIS CENTER GROUP INC.,Private
PATUBIG HEALTH CENTER,Government
PRECIOUS-MOMMA LYING-IN CLINIC,Private
PRENZA 1 HEALTH CENTER,Government
PRENZA 2 HEALTH CENTER,Government
QUEEN MARY BIRTHING HOME CLINIC,Private
Rosalie Midwifery Clinic,Private
SAOG HEALTH CENTER,Government
"ST. JOSEF RENAL CARE FOUNDATION, INC.",Private
ST. NORBERT MATERNITY AND LYING IN CLINIC,Private
ST. NORBERT MEDICAL CLINIC,Private
STA. ROSA 1 HEALTH CENTER,Government
STA. ROSA 2 HEALTH CENTER,Government
TABING ILOG HEALTH CENTER,Government
THE HEALTH NETWORK,Private
"THE PRIMEWELL CITY MULTI-SPECIALTY CLINIC, INC.",Private
ACV OSORIO MEDICAL AND LABORATORY SERVICES,Private
BANGKAL HEALTH CENTER,Government
BARAKA HEALTH CENTER,Government
BC AND E MEDICAL & DIAGNOSTIC CLINIC,Private
BENAIAH CHILD AND MATERNITY CLINIC,Private
BITUNGOL HEALTH CENTER,Government
FRIENDSHIP VILLAGE RESOURCES HEALTH CENTER,Government
HOLY ANGELS MATERNITY AND POLYCLINIC,Private
LEF MATERNITY CLINIC CO.,Private
MAHARLIKA CAPA DENSON SPECIALTY CLINIC,Private
MATICTIC HEALTH CENTER,Government
MICD DIAGNOSTIC CENTER,Private
MINUYAN HEALTH CENTER,Government
NORZAGARAY DIAGNOSTIC AND CLINICAL LABORATORY,Private
NORZAGARAY MUNICIPAL HEALTH OFFICE,Government
NORZAGARAY MUNICIPAL HOSPITAL,Government
NORZAGARAY RURAL HEALTH UNIT I,Government
NORZAGARAY RURAL HEALTH UNIT II,Government
NORZAGARAY RURAL HEALTH UNIT III,Government
O. CASTILLO DIAGNOSTIC LABORATORY & MEDICAL CLINIC,Private
PARTIDA HEALTH CENTER,Government
PAULENE-JALAINE LYING-IN CLINIC,Private
PINAGTULAYAN HEALTH CENTER,Government
"PRO RENAL SPECIALIST DIALYSIS CENTER, INC.",Private
RABVGIE DRUG TESTING LABORATORY,Private
SAN LORENZO HEALTH CENTER,Government
SAN MATEO HEALTH CENTER,Government
BINUANGAN BARANGAY HEALTH STATION,Government
CATANGHALAN BARANGAY HEALTH STATION,Government
HOLY CROSS DIAGNOSTIC LABORATORY,Private
HOLY CROSS DIAGNOSTIC LABORATORY,Private
HULO BARANGAY HEALTH STATION,Government
LAWA BARANGAY HEALTH STATION,Government
"OBANDO MULTI-SPECIALTY CLINIC, INC.",Private
OBANDO RURAL HEALTH UNIT,Government
OBANDO RURAL HEALTH UNIT,Government
PACO BARANGAY HEALTH STATION,Government
PAG-ASA BARANGAY HEALTH STATION,Government
PALIWAS BARANGAY HEALTH STATION,Government
PANGHULO BARANGAY HEALTH STATION,Government
SALAMBAO BARANGAY HEALTH STATION,Government
SAN PASCUAL BARANGAY HEALTH STATION,Government
"STA CLARA DIALYSIS CENTER, INC.",Private
TAWIRAN BARANGAY HEALTH STATION,Government
TLC DIAGNOSTIC LABORATORY,Private
TLC DIAGNOSTIC LABORATORY,Private
BAGBAGUIN BARANGAY HEALTH STATION,Government
BAGONG BARRIO BARANGAY HEALTH STATION,Government
BAKA-BAKAHAN BARANGAY HEALTH STATION,Government
BENEFRIDA S. MAGSAKAY WELL FAMILY MIDWIFE CLINIC,Private
BUNSURAN I BARANGAY HEALTH STATION,Government
BUNSURAN II BARANGAY HEALTH STATION,Government
BUNSURAN III BARANGAY HEALTH STATION,Government
CACARONG BATA BARANGAY HEALTH STATION,Government
CACARONG MATANDA BARANGAY HEALTH STATION,Government
CARMEN TECSON MIDWIFE CARE,Private
CUPANG BARANGAY HEALTH STATION,Government
DONNAMAE BIRTHING HOME & FAMILY PLANNING CLINIC,Private
DR. MAE ANN P. SEBASTIAN NICOLAS MATERNITY & ULTRASOUND CLINIC,Private
ETON MEDICAL LABORATORY,Private
HYDROMEDICAL RENAL CARE AND DIAGNOSTIC CENTER,Private
JENNIFER B. ALCARAZ LYING-IN CLINIC,Private
JLS DIAGNOSTIC LABORATORY AND MEDICAL CLINIC,Private
M. BAUTISTA MATERNITY AND LYING-IN CLINIC,Private
MALIBONG BATA BARANGAY HEALTH STATION,Government
MALIBONG MATANDA BARANGAY HEALTH STATION,Government
MANATAL BARANGAY HEALTH STATION,Government
MAPULANG LUPA BARANGAY HEALTH STATION,Government
MASAGANA BARANGAY HEALTH STATION,Government
MASUSO BARANGAY HEALTH STATION,Government
NANAY KO BIRTHING CLINIC,Private
"NEPHROMED SPECIALISTS, INC.",Private
PANDI MATERNITY AND GENERAL HOSPITAL,Private
PANDI MATERNITY AND MEDICAL CLINIC,Private
PANDI RURAL HEALTH UNIT,Government
PANDI RURAL HEALTH UNIT II,Government
PANDI RURAL HEALTH UNIT III,Government
PANDI SUPER HEALTH CENTER,Government
PASCHAL COOP DIAGNOSTIC LABORATORY,Private
PINAGCUARTELAN BARANGAY HEALTH STATION,Government
REAL DE CACARONG BARANGAY HEALTH STATION,Government
REYMALYN MATERNITY AND DIAGNOSTIC CLINIC,Private
SAN ROQUE BARANGAY HEALTH STATION,Government
SANTO NIÑO BARANGAY HEALTH STATION,Government
SILING BATA BARANGAY HEALTH STATION,Government
SILING MATANDA BARANGAY HEALTH STATION,Government
ST. MARY'S LABORATORY AND DIAGNOSTIC CENTER,Private
APOSTLE EMA BIRTHING CLINIC,Private
BINAKOD BARANGAY HEALTH STATION,Government
EXCELGENICS DIAGNOSTIC LABORATORY,Private
KAPITANGAN BARANGAY HEALTH STATION,Government
MALUMOT BARANGAY HEALTH STATION,Government
MASUKOL BARANGAY HEALTH STATION,Government
PAOMBONG BIRTHING STATION,Government
PAOMBONG RURAL HEALTH UNIT I,Government
PAOMBONG RURAL HEALTH UNIT II,Government
PINALAGDAN BARANGAY HEALTH STATION,Government
RACHELLE BIRTHING CLINIC,Private
SACDALAN-RAMAJO LYING IN CLINIC,Private
"SACRED HEART HOSPITAL OF MALOLOS, INC.",Private
SAN ISIDRO I BARANGAY HEALTH STATION,Government
SAN JOSE BARANGAY HEALTH STATION,Government
SAN PASCUAL BAYLON MATERNITY AND GENERAL HOSPITAL,Private
SAN ROQUE BARANGAY HEALTH STATION,Government
SAN VICENTE BARANGAY HEALTH STATION,Government
SANTA CRUZ BARANGAY HEALTH STATION,Government
SANTO NIÑO BARANGAY HEALTH STATION,Government
SANTO ROSARIO BARANGAY HEALTH STATION,Government
AGNAYA BARANGAY HEALTH STATION,Government
BAGONG SILANG BARANGAY HEALTH STATION,Government
BANGA 1ST BARANGAY HEALTH STATION,Government
BANGA 2ND BARANGAY HEALTH STATION,Government
BINTOG BARANGAY HEALTH STATION,Government
BULIHAN BARANGAY HEALTH STATION,Government
CULIANIN BARANGAY HEALTH STATION,Government
DR. PERALTA HOSPITAL CO.,Private
GARCIA-RAMOS MEDICAL AND DIAGNOSTIC CLINIC,Private
GEZYNE CLINICAL LABORATORY,Private
GEZYNE CLINICAL LABORATORY,Private
"HEMOTEK RENAL CENTER, INC.",Private
"JOSE L. FAUSTINO FOUNDATION, INC.",Private
LA CONSOLACION UNIVERSITY GENERAL HOSPITAL,Private
LAGUNDI BARANGAY HEALTH STATION,Government
LALANGAN BARANGAY HEALTH STATION,Government
LUMANG BAYAN BARANGAY HEALTH STATION,Government
MA. LOURDES OB-GYNE AND LYING-IN CLINIC,Private
